DATE,CO,ID,MT,NV,OR,UT,WA,WY,T_WA
2019-07-29,74.06666666666666,73.0,67.81818181818181,82.28571429,71.0,,68.8,68.30769230769229,72.42222761060812
2019-07-30,73.8,75.0,67.72727272727273,70.14285714,71.0,,69.3,66.0,71.05374796329028
2019-07-31,76.73333333333333,76.0,72.18181818181819,81.625,70.25,,69.9,71.53846153846153,73.68453739186492
2019-08-01,76.33333333333333,75.75,73.7,79.5,70.5,,71.5,70.69230769230771,73.89508766836008
2019-08-02,72.8888888888889,76.0,75.54545454545455,79.875,73.0,,72.5,70.23076923076923,73.96273337148092
2019-08-03,73.1111111111111,77.25,75.18181818181819,80.125,71.5,,71.6,70.46153846153847,73.58309927455547
2019-08-04,74.6111111111111,76.5,74.63636363636364,81.875,74.5,,69.7,72.30769230769229,74.05428663282444
2019-08-05,75.27777777777777,78.75,72.81818181818181,83.0,75.875,,72.2,72.76923076923076,75.48486654561019
2019-08-06,73.55555555555556,78.5,72.0,71.875,75.875,,72.9,70.76923076923076,73.77024529466235
2019-08-07,75.22222222222223,78.75,71.9090909090909,82.625,75.125,,74.6,71.07692307692308,75.9696561161315
2019-08-08,74.8888888888889,79.75,70.54545454545455,82.125,72.0,,74.9,70.38461538461539,75.37119176969351
2019-08-09,72.05555555555556,72.5,72.9090909090909,76.25,70.0,,74.1,69.0,72.87509986845726
2019-08-10,73.5,74.0,69.27272727272727,75.25,68.25,,69.6,68.84615384615384,71.31097666771055
2019-08-11,73.0,71.5,64.72727272727273,73.375,63.625,,69.2,68.84615384615384,69.62952030238272
2019-08-12,72.33333333333333,65.0,61.54545454545455,72.875,64.25,,67.6,67.61538461538461,68.35781535926156
2019-08-13,71.0,66.25,62.81818181818182,73.75,66.75,,67.2,63.07692307692307,68.50228594403438
2019-08-14,70.5,69.75,63.0,77.625,70.25,,69.6,63.07692307692307,70.51601116890782
2019-08-15,70.94444444444444,72.0,65.45454545454545,79.75,72.25,,71.5,66.46153846153847,72.20071491760773
2019-08-16,72.6111111111111,71.25,66.54545454545455,81.75,70.75,,72.0,67.07692307692308,72.75745504739021
