DATE,DE,NJ,OH,VA,WV,T_WA
2016-09-06,71.0,70.66666666666667,72.0,72.25,71.6,71.6423379287993
2016-09-07,77.5,74.66666666666667,78.38461538461539,77.83333333333333,72.8,76.85983608528885
2016-09-08,79.0,77.0,81.53846153846153,79.66666666666667,77.6,79.47342338429951
2016-09-09,83.0,79.33333333333333,79.38461538461539,83.08333333333333,78.4,80.41593421403344
2016-09-10,86.5,84.33333333333333,77.15384615384616,83.25,77.0,81.0640439481451
2016-09-11,84.0,82.33333333333333,74.61538461538461,82.33333333333333,78.2,79.32133827008464
2016-09-12,77.5,73.33333333333333,65.15384615384616,79.16666666666667,67.0,71.66691671049485
2016-09-13,70.5,66.66666666666667,66.0,74.16666666666667,67.6,68.60026667633011
2016-09-14,72.5,69.0,68.84615384615384,75.25,74.4,71.02789214328357
2016-09-15,79.0,77.66666666666667,67.15384615384616,79.16666666666667,73.2,74.00244525653672
2016-09-16,69.0,65.0,65.69230769230771,73.08333333333333,69.4,67.78822773507105
2016-09-17,67.5,62.66666666666666,68.61538461538461,72.66666666666667,72.6,68.23251948712543
2016-09-18,71.0,66.0,73.53846153846153,74.83333333333333,76.0,71.84528729487883
2016-09-19,78.0,77.0,73.38461538461539,77.41666666666667,70.6,75.45635694544764
2016-09-20,73.0,71.66666666666667,71.92307692307692,76.91666666666667,72.4,73.24862368230696
2016-09-21,74.0,74.0,71.61538461538461,74.0,71.4,72.97926534377022
2016-09-22,74.0,73.0,72.53846153846153,73.75,71.0,72.94967922471727
2016-09-23,73.0,70.66666666666667,73.23076923076924,75.0,71.4,72.88002208206217
2016-09-24,75.0,72.66666666666667,75.92307692307692,75.33333333333333,73.2,74.67634192693747
2016-09-25,63.5,62.0,66.23076923076923,75.5,72.0,67.77501722838164
2016-09-26,62.0,59.0,64.92307692307692,68.16666666666667,70.2,64.3484934565214
2016-09-27,61.0,59.66666666666666,61.230769230769226,67.91666666666667,69.8,63.060156709731224
2016-09-28,67.0,65.33333333333333,60.69230769230769,72.08333333333333,62.6,65.33614907344443
2016-09-29,64.5,63.0,58.384615384615394,71.5,62.2,63.5844856539482
2016-09-30,65.5,61.66666666666666,60.53846153846154,72.16666666666667,61.2,64.15568152543085
2016-10-01,64.0,59.0,61.615384615384606,71.41666666666667,63.8,63.70701314973094
2016-10-02,64.5,60.0,61.07692307692307,72.33333333333333,62.8,63.99274401866115
2016-10-03,69.0,60.66666666666666,61.769230769230774,71.33333333333333,62.0,64.2571273297232
2016-10-04,67.5,65.0,60.615384615384606,69.5,63.2,64.57224150331984
2016-10-05,63.5,62.0,64.30769230769229,67.91666666666667,64.0,64.58909835445002
2016-10-06,62.5,59.66666666666666,68.38461538461539,65.75,62.8,64.75577652432261
2016-10-07,64.5,61.33333333333334,69.23076923076923,66.08333333333333,61.8,65.624700824573
2016-10-08,64.0,61.66666666666666,66.92307692307692,69.91666666666667,61.2,65.8488173463557
2016-10-09,65.0,61.0,56.69230769230769,67.16666666666667,55.8,60.901437528587266
2016-10-10,58.0,57.0,52.30769230769231,60.8,52.8,56.09116212716851
2016-10-11,55.0,53.33333333333334,51.769230769230774,56.36363636363637,51.0,53.49094528096518
2016-10-12,53.5,52.0,54.769230769230774,56.08333333333334,55.2,54.334871358158814
2016-10-13,57.0,55.66666666666666,63.30769230769231,59.58333333333334,59.6,59.77974390337085
2016-10-14,60.5,57.33333333333334,52.153846153846146,63.41666666666666,54.8,57.01721170728205
2016-10-15,54.5,52.33333333333334,50.07692307692307,57.25,53.4,52.948666511313164
2016-10-16,54.0,51.66666666666666,58.846153846153854,59.5,61.8,57.03852849782124
2016-10-17,59.0,56.66666666666666,69.07692307692308,63.25,66.2,63.58838987348621
2016-10-18,69.0,68.66666666666667,72.76923076923076,69.33333333333333,68.4,70.34497683864494
2016-10-19,71.5,71.0,72.23076923076924,72.16666666666667,70.6,71.75659414431479
2016-10-20,75.0,73.0,64.69230769230771,75.75,72.4,70.71702794415269
2016-10-21,72.5,65.0,58.30769230769231,73.91666666666667,70.4,65.46629681131219
2016-10-22,68.0,65.66666666666667,50.07692307692307,67.58333333333333,54.6,59.91154741385302
2016-10-23,53.5,51.33333333333334,46.0,54.08333333333334,43.8,49.756429694422074
2016-10-24,55.5,53.66666666666666,55.769230769230774,55.75,51.8,54.946736464117755
2016-10-25,59.0,55.0,50.0,63.5,53.0,55.452335837669324
2016-10-26,49.0,45.33333333333334,44.615384615384606,53.83333333333334,47.4,47.57455954834393
2016-10-27,44.5,41.333333333333336,43.53846153846154,51.08333333333334,51.0,45.39338682168421
2016-10-28,53.0,46.66666666666666,50.615384615384606,58.41666666666666,58.6,52.12596749689678
2016-10-29,49.5,44.33333333333334,48.846153846153854,56.83333333333334,53.6,50.0147794296526
2016-10-30,52.5,49.33333333333334,63.230769230769226,59.25,61.4,57.86104107730325
2016-10-31,68.5,65.33333333333333,57.69230769230769,69.0,64.2,63.54599532911386
2016-11-01,53.5,46.33333333333334,48.615384615384606,57.16666666666666,56.8,50.878903821440154
2016-11-02,47.5,46.33333333333334,63.0,53.83333333333334,64.6,55.51696547078505
2016-11-03,59.0,59.66666666666666,69.23076923076923,65.75,67.6,65.22906241028016
2016-11-04,66.0,64.0,58.230769230769226,70.0,62.4,63.4621134128303
2016-11-05,51.0,50.66666666666666,48.46153846153846,56.08333333333334,49.2,51.23625102848985
2016-11-06,50.5,49.33333333333334,49.07692307692307,52.16666666666666,47.8,49.94749066406825
2016-11-07,55.5,48.66666666666666,53.07692307692307,55.41666666666666,51.0,52.43171752484447
2016-11-08,45.5,43.66666666666666,53.846153846153854,49.08333333333334,54.4,49.51003522677315
2016-11-09,51.0,51.33333333333334,52.0,51.66666666666666,53.8,51.79560789289399
2016-11-10,53.5,50.66666666666666,44.769230769230774,54.91666666666666,45.4,49.432400966551185
2016-11-11,48.5,48.0,46.53846153846154,52.0,46.0,48.43801077439361
2016-11-12,53.5,51.66666666666666,45.230769230769226,55.0,48.0,50.04885399223488
2016-11-13,40.5,41.66666666666666,38.53846153846154,42.45454545454545,39.8,40.58981011764503
2016-11-14,46.5,46.66666666666666,42.53846153846154,45.33333333333334,42.6,44.56185562353106
2016-11-15,44.5,46.66666666666666,43.30769230769231,44.75,40.8,44.52543482338018
2016-11-16,53.5,46.66666666666666,47.230769230769226,51.5,45.0,48.28297058159406
2016-11-17,49.5,50.0,45.30769230769231,51.33333333333334,50.0,48.620919587466844
2016-11-18,52.0,51.66666666666666,49.69230769230769,51.91666666666666,50.2,50.93724997415199
2016-11-19,53.5,53.0,61.30769230769231,54.63636363636363,58.8,56.82640683515361
