DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-01-27,32.75,31.222222222222218,37.22222222222222,33.5,37.0,35.42857142857143,35.172664994298366
2016-01-28,35.75,29.66666666666667,35.333333333333336,33.5,38.5,28.857142857142854,34.706128380702665
2016-01-29,31.0,21.33333333333333,29.555555555555557,26.5,32.0,25.285714285714285,28.87303853620753
2016-01-30,35.25,27.66666666666667,35.666666666666664,32.0,38.0,29.42857142857143,34.41065989012483
2016-01-31,31.75,26.88888888888889,34.666666666666664,32.0,35.5,29.57142857142857,32.862955650910216
2016-02-01,42.75,35.111111111111114,45.444444444444436,41.0,46.5,39.0,43.2590130675468
2016-02-02,46.0,39.333333333333336,48.375,45.0,51.5,41.857142857142854,46.62579448170429
2016-02-03,38.75,24.444444444444446,37.875,36.0,40.0,32.142857142857146,36.60797958326414
2016-02-04,43.25,27.33333333333333,42.75,42.5,44.5,37.857142857142854,41.370432943326165
2016-02-05,48.25,41.333333333333336,48.375,45.0,49.0,42.142857142857146,47.18087463336336
2016-02-06,33.25,24.88888888888889,32.375,27.5,34.0,26.57142857142857,31.33278222726089
2016-02-07,26.5,19.777777777777782,26.0,23.5,26.5,27.714285714285715,25.435418775305543
2016-02-08,32.0,23.222222222222218,33.375,28.5,36.0,30.0,31.724384793973442
2016-02-09,30.25,16.833333333333332,29.5,24.0,29.5,25.142857142857146,27.846255600422907
2016-02-10,25.5,17.555555555555557,25.875,19.0,26.0,22.857142857142854,24.283980659679933
2016-02-11,30.75,16.555555555555557,26.555555555555557,23.0,27.0,27.5,26.403174949663587
2016-02-12,22.5,15.857142857142858,19.666666666666668,14.5,22.5,12.833333333333336,19.443916745090206
2016-02-13,15.5,10.0,15.0,12.0,16.0,11.0,14.295783082901028
2016-02-14,12.0,,12.4,,11.5,,12.193391638261927
2016-02-16,15.666666666666664,,18.0,,18.5,11.0,16.99867347711994
2016-02-17,40.75,33.22222222222222,42.888888888888886,34.0,44.5,36.285714285714285,40.52314061803171
2016-02-18,34.75,36.333333333333336,36.77777777777778,33.5,38.5,30.57142857142857,35.812331798537365
2016-02-19,28.75,20.222222222222218,28.88888888888889,24.0,31.0,18.571428571428573,27.339953390832243
2016-02-20,27.25,21.555555555555557,28.777777777777782,23.5,28.5,20.714285714285715,26.914719748220843
2016-02-21,46.75,34.888888888888886,43.66666666666666,43.0,45.0,41.0,43.534354038181654
2016-02-22,44.5,33.111111111111114,46.125,40.0,46.0,35.714285714285715,43.548800883664846
2016-02-23,39.25,19.571428571428573,35.75,29.5,41.0,21.428571428571427,34.32583037875959
2016-02-24,34.0,16.857142857142858,31.222222222222218,26.0,34.0,23.0,29.962897365111825
2016-02-25,47.5,28.222222222222218,46.77777777777778,31.5,45.5,35.0,43.28544735340257
2016-02-26,49.75,41.888888888888886,49.22222222222222,48.0,50.0,43.16666666666666,48.37396734935453
2016-02-27,31.5,24.444444444444446,31.444444444444446,28.0,32.5,22.714285714285715,30.216819467239283
2016-02-28,30.0,20.11111111111111,27.88888888888889,24.5,30.0,22.285714285714285,27.296364272327494
2016-02-29,45.5,31.11111111111111,44.444444444444436,41.5,45.0,37.42857142857143,42.96567972885655
2016-03-01,47.5,33.0,47.88888888888889,45.5,49.0,40.142857142857146,45.98220159921502
2016-03-02,39.75,25.555555555555557,38.888888888888886,34.0,41.0,25.57142857142857,37.031455586994475
2016-03-03,38.5,22.33333333333333,38.0,32.5,39.0,26.857142857142854,35.80069996206499
2016-03-04,28.5,14.75,26.0,21.0,28.5,14.666666666666664,24.825791757614414
2016-03-05,31.5,16.0,28.33333333333333,21.0,29.0,18.571428571428573,26.94264649754987
2016-03-06,30.75,18.222222222222218,28.222222222222218,25.5,31.5,20.0,27.562775473644745
