DATE,KS,NE,ND,OK,SD,T_WA
2017-02-03,26.54375,19.51571428571429,6.544999999999997,34.30625,12.576874999999998,25.541463590177845
2017-02-04,38.5475,32.766836734693875,15.349999999999998,39.45875,25.390625,35.01748458126438
2017-02-05,39.475625,30.67571428571428,9.545000000000002,44.25125,17.67875,35.62759050031412
2017-02-06,44.11625,36.78285714285715,11.8475,61.41875,24.935,45.333316256417554
2017-02-07,42.362857142857145,26.979285714285716,2.4199999999999977,61.06999999999999,15.76625,41.43452884777463
2017-02-08,26.70285714285714,15.899642857142858,-5.537500000000001,40.67375,6.873124999999997,25.963520980980245
2017-02-09,28.360625,22.720357142857143,3.3207142857142853,36.5675,11.474375000000002,27.168752745501713
2017-02-10,51.886785714285715,43.92821428571428,34.1975,58.42625,33.32375,50.02857372805522
2017-02-11,55.29875,42.43035714285714,31.625,70.07,37.83875,55.305416502853106
2017-02-12,45.07250000000001,38.17785714285714,30.2075,56.46875,34.458125,46.12876133034487
2017-02-13,39.059375,37.03678571428571,30.98,45.99500000000001,35.268125,40.400878263756944
2017-02-14,42.04625,37.07857142857143,31.41,41.91125,34.626875,39.67213994459267
2017-02-15,40.713125,38.59892857142857,30.4325,43.12625,32.489375,39.78973406546952
2017-02-16,51.11375,46.63326530612245,38.2175,50.39375,39.515,48.08977781791398
2017-02-17,53.954375,48.77857142857143,40.07,54.6125,41.703125,51.19619630278018
2017-02-18,52.54571428571428,44.34836734693878,35.47250000000001,55.95125,41.43875,50.13282248186022
2017-02-19,54.7925,52.076428571428565,38.63,58.9325,47.384375,54.051679486203966
2017-02-20,58.521875,54.41321428571429,42.26,60.06875,50.09,56.44763148316582
2017-02-21,54.235625,52.03785714285715,38.5775,57.6275,46.175,53.289035837997616
2017-02-22,57.48125,52.012142857142855,33.635,60.60875000000001,43.818125,54.757830444103064
2017-02-23,52.94750000000001,33.9575,28.355,68.3375,30.16625,51.5379996387331
2017-02-24,33.085625,24.571785714285717,21.41,47.75,24.26,35.46348976140931
2017-02-25,29.0975,19.72142857142857,22.22,35.3975,22.386875,28.67785089923
2017-02-26,40.184375,27.750714285714288,17.115714285714287,45.80375,26.51,37.17110067403319
2017-02-27,43.66625,31.49535714285714,18.35,53.11625,31.319375,42.100392714265745
2017-02-28,53.841875,36.175357142857145,20.1575,66.5375,30.790625,50.97143933664143
2017-03-01,42.755,32.92892857142857,19.1525,54.0725,25.7675,42.062335351465364
2017-03-02,40.274375,31.794285714285717,16.265,47.525,21.284375,38.09191945481014
2017-03-03,45.99875,34.906632653061216,25.0325,50.75375,25.16,42.45338727954828
2017-03-04,56.5475,43.741785714285705,36.5375,54.98375,35.36375,50.33317863903391
2017-03-05,58.73,51.9111224489796,40.115,55.95125,47.373125,54.097261285163015
2017-03-06,64.07375,53.41035714285715,36.0125,68.88875,51.573392857142856,60.81892698445943
2017-03-07,47.103125,40.955,23.7875,53.16125,35.256875,45.55606153632657
2017-03-08,50.57375,40.7525,18.5,55.02875,30.959375,46.44376163568633
2017-03-09,52.18250000000001,38.41892857142857,13.227500000000004,66.89750000000001,23.3375,49.92427460772294
2017-03-10,35.898125,25.915357142857147,4.429999999999996,54.32,9.978125,36.536608518294756
2017-03-11,34.10375,28.8725,8.120000000000001,44.15,14.185625000000002,33.35852748961767
2017-03-12,34.39625,33.864285714285714,11.967499999999998,39.63875,16.924999999999994,33.168395841821024
2017-03-13,33.006875,23.665357142857147,8.235,43.25,12.425,31.60761898904301
2017-03-14,31.13375,27.242857142857147,18.335,38.48,14.866249999999996,30.884759062864607
2017-03-15,35.81375,36.62535714285714,27.7025,41.6075,21.57125,36.360532366122904
2017-03-16,51.18928571428572,50.045918367346935,36.5975,55.94,35.223125,50.36090464916483
2017-03-17,61.176875,51.62642857142857,36.8225,68.79875000000001,37.865,58.545888859631816
2017-03-18,54.246875,46.02071428571429,34.28,66.56,34.878125,54.29081084895547
2017-03-19,68.9225,60.18561224489795,46.1075,72.75875,49.73,65.46975782010728
2017-03-20,66.71187499999999,53.12428571428572,40.6475,77.2475,44.076875,64.36944506378514
2017-03-21,54.905,43.1825,25.52,70.46375,32.118125,54.554580319526636
2017-03-22,48.94812500000001,42.07357142857143,32.6675,59.37125,30.194375,48.847496755761945
2017-03-23,63.2975,54.371428571428574,38.81,67.64000000000001,40.87625,59.60616490971941
2017-03-24,62.785625,48.92321428571428,37.5125,69.29375,39.30125,58.853291233248434
2017-03-25,45.91625,41.86785714285714,40.835,52.82375,37.1075,46.666059178810634
2017-03-26,45.336875,44.45214285714286,44.81,56.69375,40.645625,49.037400511727405
2017-03-27,49.533125,47.03,44.5925,58.9325,46.445,52.00685622191887
2017-03-28,49.488125,44.220714285714294,43.6925,58.91642857142857,45.888125,51.3555091077953
2017-03-29,48.453125,44.72535714285714,48.275,59.95625,45.185,51.82870552730951
2017-03-30,45.1625,41.135,48.3725,51.05750000000001,40.544375,46.49210659683226
2017-03-31,45.365,43.368928571428576,45.785,53.87000000000001,46.889375,48.375256786127224
2017-04-01,45.24125,43.86071428571428,49.34,58.3925,47.913125,50.489898213713
2017-04-02,48.610625,48.39607142857143,51.2,57.25464285714286,50.70875,52.20999282667125
2017-04-03,56.0525,47.512142857142855,45.5,61.91374999999999,48.209375,55.25759423120881
2017-04-04,46.77125,46.96892857142856,45.395,57.875,49.0625,51.1053807556566
2017-04-05,49.825625,46.36464285714285,42.8075,54.37625,44.313125,49.92961193426794
2017-04-06,48.335,45.86964285714286,42.9575,55.16375,41.1575,49.464467338940935
2017-04-07,52.975625,53.137142857142855,54.755,57.75125,49.85375,54.67909309747466
2017-04-08,64.394375,61.93464285714286,59.00749999999999,69.11375000000001,60.88919642857143,65.03642056168701
2017-04-09,68.79875000000001,58.285357142857144,44.915,72.12875,53.375,65.06661046713394
2017-04-10,55.77125,43.19535714285715,35.4425,68.86625000000001,35.3525,55.19087194361931
2017-04-11,51.02375,45.82785714285714,42.5675,58.82,40.1,51.47254840278071
2017-04-12,59.980357142857144,55.898214285714296,49.1675,64.67,47.710625,59.173351935552525
2017-04-13,64.83875,58.415,52.145,65.89625000000001,48.52625000000001,61.7438500173278
2017-04-14,67.15625,63.631785714285705,60.62,69.94624999999999,58.263125,66.33088669156392
2017-04-15,71.38062500000002,63.88892857142858,52.0025,72.15125,57.68375,67.71346061798432
2017-04-16,60.83375,55.972142857142856,43.175,68.73125,52.4975,60.930774746244865
2017-04-17,60.04625,56.87214285714286,36.8225,65.5025,48.970625,58.89368978751345
2017-04-18,66.464375,62.313928571428576,44.6675,66.18875000000001,53.785625,62.92932822457086
2017-04-19,70.03625,57.106785714285714,43.655,70.63250000000002,43.50875,63.699934650588915
2017-04-20,61.71124999999999,52.4075,48.2375,67.69624999999999,45.471875,59.89820163012154
2017-04-21,51.434375,48.849285714285706,49.44500000000001,56.1275,48.065,52.302503190118586
2017-04-22,52.17125,50.34071428571429,49.2725,50.73125,51.6425,51.03113328098476
2017-04-23,52.480625,55.535,36.1775,56.08625,55.883750000000006,53.51037792266674
2017-04-24,61.131875,59.99,36.71,59.6075,53.105,57.883243769814314
2017-04-25,58.026875,44.61607142857143,34.28,69.65375,37.6025,56.486417724195015
2017-04-26,46.371875,39.38321428571429,35.45,51.6425,33.395,45.17907313749604
2017-04-27,47.64875,42.49464285714286,38.0525,53.58875,36.764375,47.3227045366182
2017-04-28,53.07125,40.46321428571429,41.9675,65.55875,38.62625,53.433205332072774
2017-04-29,42.783125,42.69714285714286,46.13,55.99625,43.21625,48.050481367760376
2017-04-30,41.613125,40.90357142857143,50.2475,50.05625000000001,43.12625,45.43606832613751
2017-05-01,49.870625,45.30821428571429,49.1675,56.73875,44.065625,51.083871104845244
2017-05-02,55.281875,50.874285714285705,51.7775,63.2525,48.880625,56.68646786723069
2017-05-03,52.784375,51.40142857142857,53.735,57.18875000000001,53.24,54.30381624103686
2017-05-04,54.966875,53.76071428571429,56.80250000000001,56.89625,54.32,55.55319473207166
2017-05-05,59.72,58.78785714285715,65.22500000000001,61.19375,62.144375,60.712051208035106
2017-05-06,66.27312500000001,65.55714285714286,66.64999999999999,66.43625,61.9475,65.8637046420226
2017-05-07,69.28812500000001,70.07642857142858,68.54750000000001,70.295,67.4375,69.60458951666732
2017-05-08,71.40875,71.89250000000001,60.83750000000001,71.43125,67.46642857142857,70.40230662949735
2017-05-09,70.79,63.728214285714294,55.7375,71.375,57.25512500000001,67.46124142411496
2017-05-10,67.97187500000001,57.59214285714286,56.90000000000001,72.1175,59.21375000000001,66.07166051191734
2017-05-11,61.55375000000001,57.903928571428565,56.9075,67.685,56.06375,62.39606915377671
2017-05-12,60.8,59.84857142857143,65.64500000000001,66.23375,63.438125,63.2577317045928
2017-05-13,62.36375,65.38035714285715,67.9925,65.67124999999999,67.758125,65.04134649059209
2017-05-14,71.459375,70.40428571428572,66.20750000000001,70.88000000000002,70.3175,70.56514503360503
2017-05-15,76.15625,70.07642857142858,59.8625,76.11125000000001,67.735625,73.11310690860827
2017-05-16,73.61937499999998,68.95892857142857,59.435,73.75999999999998,69.648125,71.43963826360002
2017-05-17,67.92125000000001,59.48857142857143,53.2175,73.86125000000001,56.609375,66.57978995372063
2017-05-18,62.47624999999999,51.951071428571424,49.415000000000006,74.93,51.96875,63.40149334231235
2017-05-19,59.826875,48.328571428571436,49.505,66.83000000000001,48.318125,58.62335594955143
2017-05-20,54.196250000000006,45.28142857142856,51.7925,63.39875000000001,43.05875,54.9123662683346
2017-05-21,56.38437500000001,52.18571428571429,51.7175,62.4425,47.305625,56.79215294008305
2017-05-22,59.07875,56.791785714285716,53.71250000000001,63.31999999999999,51.60312500000001,59.23717708932734
2017-05-23,57.08750000000001,51.89964285714286,55.58,61.94750000000001,50.33750000000001,57.28605590688496
2017-05-24,56.50812500000001,55.419285714285714,56.2775,60.6875,52.10375000000001,57.499310089046325
2017-05-25,63.68000000000001,62.56142857142858,59.7875,68.43875,60.36125,64.70992512161513
2017-05-26,71.60000000000002,64.72142857142856,60.2825,79.94749999999998,61.71124999999999,71.82504547721963
2017-05-27,69.3725,61.16964285714286,61.79750000000001,81.5,60.9575,71.18119958720419
2017-05-28,68.466875,63.51607142857142,60.005,73.61375,61.323125,68.27751353782129
2017-05-29,68.25312500000001,62.19178571428571,56.6225,73.2875,55.709375,67.12749491713512
2017-05-30,68.51750000000001,61.52964285714286,53.9225,72.23,56.834375,66.57661539894268
2017-05-31,67.803125,62.159642857142856,58.97749999999999,75.39125,58.52187500000001,68.20237995075355
2017-06-01,70.041875,67.7075,70.39250000000001,74.76125000000002,65.935625,71.0745929947254
2017-06-02,71.988125,75.14857142857143,78.5975,71.195,78.0575,73.26845902752967
2017-06-03,71.1275,73.02392857142857,74.255,72.5,76.30250000000002,72.66421728318292
2017-06-04,72.831875,74.2067857142857,71.555,72.89375000000003,73.9175,73.10856730940905
2017-06-05,76.65125,76.05178571428571,74.9975,76.85375,73.32124999999998,76.21451518258678
2017-06-06,74.91312500000002,72.24928571428572,70.66999999999999,78.935,73.58562500000002,75.52104097858194
2017-06-07,71.380625,71.67392857142858,68.1275,73.9625,74.463125,72.43614262655035
2017-06-08,69.14750000000001,74.35785714285714,70.0025,71.49875,73.810625,71.45911287009825
2017-06-09,73.236875,78.34035714285714,77.9975,74.10874999999999,78.5975,75.31242356560557
2017-06-10,78.6875,79.43642857142856,73.82,78.125,81.41,78.48868332074493
2017-06-11,81.696875,80.32035714285716,71.9825,79.9925,75.99312499999998,79.60569964175423
