DATE,AL,GA,T_WA
2019-04-12,71.1275,72.93875,72.36654987541404
2019-04-13,74.6375,71.57749999999999,72.5441983471266
2019-04-14,70.22749999999999,73.56875,72.51320070185072
2019-04-15,57.47,60.28250000000001,59.39399048977335
2019-04-16,62.96,59.90000000000001,60.86669834712662
2019-04-17,66.98750000000001,65.5025,65.97163302139968
2019-04-18,70.61,69.62,69.9327553475998
2019-04-19,59.99,66.155,64.20738715358317
2019-04-20,56.2325,51.92375,53.28494656966724
2019-04-21,59.3825,57.81875,58.31276128768602
2019-04-22,64.8725,62.76875,63.43335511364954
2019-04-23,67.505,67.80875,67.71279097289552
2019-04-24,70.1375,71.51,71.0764073590094
2019-04-25,65.255,69.47375,68.14098573466
2019-04-26,67.41499999999999,69.99125000000001,69.17737528863238
2019-04-27,65.0075,63.2525,63.80692993438143
2019-04-28,68.51750000000001,68.7425,68.67141923918187
2019-04-29,72.36500000000002,72.185,72.24186460865452
2019-04-30,74.14250000000001,72.7475,73.18820071707243
2019-05-01,74.84,74.3675,74.5167695977181
2019-05-02,75.515,74.57,74.86853919543614
2019-05-03,77.63,74.08625,75.2057719828856
2019-05-04,72.63499999999998,73.74875,73.39690023395023
2019-05-05,72.275,73.05125,72.80602137517744
2019-05-06,70.4975,72.08375000000002,71.58263063623218
2019-05-07,73.265,73.8725,73.68058194579103
2019-05-08,75.26750000000001,74.8475,74.98018408686052
2019-05-09,72.1175,72.42125000000001,72.32529097289553
2019-05-10,73.60249999999998,74.075,73.92573040228191
2019-05-11,74.14250000000001,74.00750000000002,74.0501484564909
2019-05-12,72.2525,71.2625,71.57525534759978
2019-05-13,71.375,70.93625,71.07485748359537
2019-05-14,67.10000000000001,64.75999999999999,65.49923991250859
2019-05-15,67.43428571428572,63.1475,64.50175773349214
2019-05-16,75.7175,73.18625,73.98590855920399
2019-05-17,78.14750000000002,75.875,76.59291568426315
2019-05-18,78.3725,77.2475,77.60290380409067
2019-05-19,76.5275,77.6075,77.26631234807296
2019-05-20,77.7875,79.76375,79.13942398414738
2019-05-21,79.52,78.57499999999997,78.87353919543614
2019-05-22,74.17999999999998,79.1,77.54570069677682
2019-05-23,81.23,80.52125000000002,80.74515439657714
2019-05-24,81.7475,81.69125,81.70902019020453
2019-05-25,81.7475,83.33375,82.83263063623215
2019-05-26,82.895,83.03375,82.98991686416214
2019-05-27,83.0075,83.5925,83.40769002187287
2019-05-28,81.86000000000001,84.00874999999998,83.32992873418681
2019-05-29,81.005,82.38875,81.95160332096849
2019-05-30,79.475,82.81625,81.76070070185071
2019-05-31,80.84750000000003,81.49625,81.29130047297438
2019-06-01,79.745,78.49625,78.89074822254064
2019-06-02,80.7575,77.61125,78.60519597210688
2019-06-03,83.03,79.43,80.56729217309012
2019-06-04,84.65,78.0575,80.1401662919713
2019-06-05,80.105,76.74125000000002,77.80390737423112
2019-06-06,77.0,75.23374999999999,75.79173397242234
2019-06-07,78.41428571428571,77.32625,77.66997625052768
2019-06-08,78.89,74.36375000000002,75.79365797179145
2019-06-09,77.3825,75.07625,75.80482779838586
2019-06-10,77.225,78.18125,77.87915676652294
2019-06-11,78.5975,75.57124999999998,76.52728623300388
2019-06-12,77.13499999999998,71.555,73.31780286828969
2019-06-13,73.85,73.68125,73.73456057061361
2019-06-14,74.255,71.81375,72.58497625487674
2019-06-15,77.855,73.56875,74.92283849358543
2019-06-16,79.7,79.0025,79.2228503585362
2019-06-17,80.8475,80.555,80.64740498906357
